RecordID,Hour,DayOfWeek,DayOfMonth,Consumption
86267,13.0,4.0,7.0,5.63
86296,11.0,4.0,7.0,6.81
86308,3.0,4.0,7.0,0.892
86337,18.0,4.0,7.0,7.17
86366,22.0,4.0,7.0,8.072
86395,12.0,4.0,7.0,7.052
86424,16.0,4.0,7.0,6.34
86453,5.0,4.0,7.0,0.946
86482,0.0,4.0,7.0,1.91
86511,14.0,4.0,7.0,5.98
86540,17.0,4.0,7.0,7.132
86569,7.0,4.0,7.0,1.028
86598,2.0,4.0,7.0,0.96
86627,7.0,4.0,7.0,8.934
86656,3.0,4.0,7.0,0.976
86685,11.0,4.0,7.0,7.174
86714,19.0,4.0,7.0,7.36
86743,22.0,4.0,7.0,9.192
86788,14.0,4.0,7.0,6.018
86817,10.0,4.0,7.0,8.632
86846,15.0,4.0,7.0,5.868
86875,6.0,4.0,7.0,0.988
86904,9.0,4.0,7.0,25.282
86933,20.0,4.0,7.0,7.964
73596,0.0,5.0,8.0,0.974
73625,6.0,5.0,8.0,0.988
73654,9.0,5.0,8.0,0.986
73683,17.0,5.0,8.0,0.914
73712,3.0,5.0,8.0,1.002
73741,12.0,5.0,8.0,0.898
73770,18.0,5.0,8.0,0.932
73799,23.0,5.0,8.0,0.926
73828,6.0,5.0,8.0,0.896
73857,15.0,5.0,8.0,0.964
73886,8.0,5.0,8.0,2.022
73915,12.0,5.0,8.0,0.968
73944,17.0,5.0,8.0,0.968
73973,22.0,5.0,8.0,0.952
74002,10.0,5.0,8.0,0.994
74031,0.0,5.0,8.0,0.912
74060,15.0,5.0,8.0,0.86
74089,19.0,5.0,8.0,0.898
74118,14.0,5.0,8.0,0.896
74147,10.0,5.0,8.0,0.914
74176,5.0,5.0,8.0,0.992
74205,23.0,5.0,8.0,1.022
74234,4.0,5.0,8.0,0.924
74263,8.0,5.0,8.0,1.022
74292,16.0,5.0,8.0,0.992
74321,21.0,5.0,8.0,0.992
74350,22.0,5.0,8.0,0.896
74379,16.0,5.0,8.0,0.924
74408,21.0,5.0,8.0,0.98
74437,4.0,5.0,8.0,1.008
74466,1.0,5.0,8.0,0.96
74495,5.0,5.0,8.0,1.014
74524,9.0,5.0,8.0,1.982
74535,17.0,5.0,8.0,0.96
74564,13.0,5.0,8.0,1.028
74593,13.0,5.0,8.0,0.92
74640,20.0,5.0,8.0,1.952
74669,1.0,5.0,8.0,0.972
74698,5.0,5.0,8.0,0.96
74727,0.0,5.0,8.0,0.94
74756,4.0,5.0,8.0,1.002
74785,11.0,5.0,8.0,0.864
74814,16.0,5.0,8.0,0.922
74843,21.0,5.0,8.0,0.912
74872,10.0,5.0,8.0,1.032
74901,14.0,5.0,8.0,0.924
74930,20.0,5.0,8.0,0.956
74959,2.0,5.0,8.0,1.988
74988,6.0,5.0,8.0,0.948
75017,7.0,5.0,8.0,0.948
75046,11.0,5.0,8.0,0.94
75075,2.0,5.0,8.0,0.976
75104,2.0,5.0,8.0,0.996
75133,7.0,5.0,8.0,0.948
75162,11.0,5.0,8.0,0.96
75191,15.0,5.0,8.0,1.116
75220,19.0,5.0,8.0,1.868
75249,12.0,5.0,8.0,0.894
75278,3.0,5.0,8.0,0.966
75307,13.0,5.0,8.0,0.948
75336,18.0,5.0,8.0,1.77
75365,23.0,5.0,8.0,1.062
77600,20.0,6.0,9.0,8.784
77629,9.0,6.0,9.0,0.912
77658,23.0,6.0,9.0,18.39
77687,19.0,6.0,9.0,0.94
77716,16.0,6.0,9.0,1.016
77745,13.0,6.0,9.0,0.962
77774,9.0,6.0,9.0,0.996
77803,5.0,6.0,9.0,0.946
77832,0.0,6.0,9.0,0.926
77861,18.0,6.0,9.0,1.882
77890,15.0,6.0,9.0,0.964
77919,10.0,6.0,9.0,0.97
77948,2.0,6.0,9.0,0.952
77977,21.0,6.0,9.0,8.878
78006,10.0,6.0,9.0,1.898
78035,13.0,6.0,9.0,0.9
78064,7.0,6.0,9.0,0.894
78093,6.0,6.0,9.0,0.942
78122,1.0,6.0,9.0,2.086
78151,7.0,6.0,9.0,0.988
78180,2.0,6.0,9.0,0.928
78209,14.0,6.0,9.0,0.936
78238,3.0,6.0,9.0,0.956
78267,22.0,6.0,9.0,9.164
78296,4.0,6.0,9.0,0.956
78325,13.0,6.0,9.0,0.992
78354,17.0,6.0,9.0,1.956
78383,19.0,6.0,9.0,1.012
78412,16.0,6.0,9.0,0.97
78441,8.0,6.0,9.0,0.954
78470,12.0,6.0,9.0,0.944
78499,3.0,6.0,9.0,0.948
78528,22.0,6.0,9.0,8.794
78557,12.0,6.0,9.0,0.926
78586,20.0,6.0,9.0,8.102
78615,8.0,6.0,9.0,0.922
78644,3.0,6.0,9.0,0.948
78673,17.0,6.0,9.0,1.012
78702,0.0,6.0,9.0,0.9
78731,10.0,6.0,9.0,0.922
78760,6.0,6.0,9.0,0.908
78789,1.0,6.0,9.0,0.92
78818,6.0,6.0,9.0,1.06
78847,16.0,6.0,9.0,0.95
78876,8.0,6.0,9.0,0.974
78905,4.0,6.0,9.0,0.964
78934,11.0,6.0,9.0,0.908
78963,19.0,6.0,9.0,0.984
78992,22.0,6.0,9.0,8.854
79021,14.0,6.0,9.0,1.0
79050,15.0,6.0,9.0,0.952
79079,20.0,6.0,9.0,0.956
79108,0.0,6.0,9.0,0.916
79137,5.0,6.0,9.0,1.882
79166,12.0,6.0,9.0,1.024
79195,7.0,6.0,9.0,0.962
79224,21.0,6.0,9.0,9.758
79253,21.0,6.0,9.0,9.572
79282,11.0,6.0,9.0,1.062
79311,11.0,6.0,9.0,0.94
79340,2.0,6.0,9.0,0.998
79369,18.0,6.0,9.0,0.958
79398,14.0,6.0,9.0,0.88
77114,19.0,0.0,10.0,7.48
77143,8.0,0.0,10.0,0.922
77172,11.0,0.0,10.0,0.944
77201,4.0,0.0,10.0,0.952
77233,12.0,0.0,10.0,0.914
77286,21.0,0.0,10.0,8.444
77289,12.0,0.0,10.0,0.914
77317,8.0,0.0,10.0,0.922
77346,4.0,0.0,10.0,0.87
77375,10.0,0.0,10.0,0.99
77404,14.0,0.0,10.0,1.074
77433,6.0,0.0,10.0,1.014
77462,3.0,0.0,10.0,1.012
77491,21.0,0.0,10.0,8.444
77520,6.0,0.0,10.0,0.944
77549,2.0,0.0,10.0,0.912
